"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"45","mu_t","X1_P3","X5_P2","X3_P3","X3_by_X5_P2","X1_by_X5_P1","X1_by_X3_P3","X8_P3","X3_by_X8_P1","X46_P1","X3_by_X46_P1","X46_by_X8_P1","X26_P4","X40_P1","X40_by_X46_P1","X22_P3","X3_by_X40_P1","X40_by_X8_P1","X31_P2","X35_P3"
"46","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X34_P1","X8_P1","X3_by_X34_P1","X24_P1","X37_P1","X24_by_X34_P3","X41_P4","X24_by_X3_P1","X34_by_X8_P1","X44_P3","X38_P1","X9_P3","X31_P1"
"47","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X1_by_X3_P3","X8_P3","X3_by_X8_P1","X23_P1","X23_by_X3_P1","X17_P1","X9_P4","X23_by_X8_P1","X17_by_X3_P1","X37_P3","X17_by_X8_P1","X40_P1","X3_by_X37_P3","X30_P4"
"48","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X48_P1","X8_P1","X41_P1","X3_by_X41_P1","X4_P1","X4_by_X48_P1","X27_P4","X3_by_X4_P1","X37_P1","X44_P1","X34_P3","X1_by_X3_P3","X20_P3","X45_P1"
"49","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X1_by_X3_P3","X49_P1","X8_P1","X15_P1","X15_by_X3_P1","X3_by_X49_P1","X2_P1","X2_by_X49_P3","X41_P4","X29_P1","X29_by_X8_P3","X3_by_X8_P1","X2_by_X8_P1","X15_by_X2_P1"
"50","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X21_P1","X21_by_X3_P1","X8_P1","X33_P1","X1_by_X3_P3","X49_P1","X3_by_X33_P1","X29_P3","X24_P4","X47_P1","X21_by_X33_P1","X29_by_X3_P3","X33_by_X49_P1","X3_by_X49_P1"
"51","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X45_P1","X3_by_X5_P2","X3_by_X45_P1","X8_P1","X50_P1","X39_P1","X3_by_X8_P1","X47_P4","X39_by_X8_P1","X1_by_X3_P3","X37_P3","X39_by_X45_P1","X1_by_X37_P3","X43_P1","X40_P4"
"52","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X12_P1","X12_by_X3_P1","X8_P1","X31_P1","X31_by_X8_P1","X12_by_X31_P1","X1_by_X3_P3","X21_P4","X3_by_X8_P1","X21_by_X31_P3","X16_P1","X41_P3","X3_by_X41_P3","X16_by_X3_P1"
"53","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X42_P1","X3_by_X42_P1","X8_P1","X37_P1","X1_by_X3_P3","X19_P1","X3_by_X37_P1","X19_by_X42_P1","X32_P4","X19_by_X8_P1","X10_P3","X19_by_X3_P1","X19_by_X37_P1","X11_P3"
"54","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X47_P1","X3_by_X47_P1","X1_by_X3_P3","X8_P3","X47_by_X8_P1","X50_P4","X3_by_X8_P1","X15_P1","X15_by_X3_P1","X7_P1","X1_by_X8_P3","X26_P1","X13_P4","X15_by_X26_P3"
"55","mu_t","X1_P3","X5_P2","X3_P3","X1_by_X5_P1","X3_by_X5_P2","X1_by_X3_P3","X13_P1","X13_by_X3_P1","X8_P1","X37_P1","X3_by_X37_P1","X13_by_X37_P1","X6_P4","X9_P1","X20_P3","X21_P3","X32_P1","X3_by_X32_P1","X27_P1"
"56","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X18_P1","X18_by_X3_P1","X1_by_X3_P3","X8_P1","X37_P1","X3_by_X37_P1","X18_by_X37_P1","X25_P4","X50_P3","X33_P1","X3_by_X50_P3","X3_by_X33_P1","X30_P1","X10_P4"
"57","mu_t","X1_P3","X5_P2","X1_by_X5_P1","X3_P3","X3_by_X5_P2","X2_P1","X2_by_X3_P1","X8_P1","X40_P1","X40_by_X8_P1","X1_by_X3_P3","X20_P4","X2_by_X40_P1","X9_P3","X3_by_X8_P1","X34_P3","X15_P1","X15_by_X3_P1","X3_by_X34_P3"
