"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"87","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X15","X15:X3","X8","X9","X8:X9","X3:X8","X13","X15:X8","X15:X9","X3:X9","X47","X43","X47:X8"
"88","mu_t","X1","X5","X1:X5","X3","X3:X5","X1:X3","X16","X8","X16:X3","X23","X16:X23","X23:X3","X45","X18","X10","X10:X3","X18:X3","X10:X23","X14"
"89","mu_t","X1","X5","X3","X1:X5","X3:X5","X7","X8","X3:X7","X31","X24","X24:X3","X4","X24:X31","X1:X3","X31:X7","X24:X7","X49","X3:X31","X19"
"90","mu_t","X1","X5","X1:X5","X3","X3:X5","X22","X22:X3","X8","X40","X22:X40","X3:X40","X43","X1:X3","X40:X8","X17","X22:X8","X3:X8","X1:X17","X36"
"91","mu_t","X1","X5","X1:X5","X3","X3:X5","X25","X25:X3","X1:X3","X8","X3:X8","X30","X2","X7","X7:X8","X25:X7","X3:X7","X1:X8","X36","X10"
"92","mu_t","X1","X5","X1:X5","X3","X3:X5","X11","X8","X3:X8","X48","X3:X48","X11:X8","X30","X39","X1:X3","X11:X3","X48:X8","X11:X48","X23","X1:X23"
"93","mu_t","X1","X5","X3","X1:X5","X3:X5","X41","X3:X41","X8","X41:X8","X3:X8","X7","X24","X1:X3","X41:X7","X13","X3:X7","X7:X8","X17","X50"
"94","mu_t","X1","X5","X1:X5","X3","X3:X5","X2","X2:X3","X8","X29","X2:X29","X29:X3","X31","X1:X3","X2:X31","X36","X21","X32","X30","X21:X30"
"95","mu_t","X1","X5","X3","X1:X5","X3:X5","X25","X25:X3","X8","X37","X25:X37","X1:X3","X3:X37","X16","X37:X5","X11","X11:X25","X24","X11:X3","X34"
"96","mu_t","X1","X5","X3","X1:X5","X3:X5","X1:X3","X50","X3:X50","X8","X15","X15:X50","X15:X3","X9","X20","X4","X13","X13:X3","X13:X8","X3:X8"
"97","mu_t","X1","X5","X3","X3:X5","X1:X5","X1:X3","X29","X29:X3","X8","X11","X33","X11:X3","X37","X29:X37","X7","X44","X3:X37","X6","X1:X7"
"98","mu_t","X1","X5","X3","X1:X5","X3:X5","X32","X8","X2","X3:X8","X14","X1:X3","X50","X21","X2:X21","X14:X3","X11","X7","X21:X3","X48"
"99","mu_t","X1","X5","X1:X5","X3","X3:X5","X41","X8","X3:X41","X19","X19:X41","X26","X1:X3","X29","X26:X3","X26:X41","X28","X40","X27","X3:X40"
"100","mu_t","X1","X5","X3","X1:X5","X3:X5","X25","X1:X3","X8","X4","X3:X4","X41","X20","X20:X4","X46","X3:X46","X4:X46","X46:X8","X10","X22"
